# Simulated random data file for batch processing
# timestamp: 2022-04-27 10:18:35
# HRS
# ------------------------

"var_x","var_y"
NA,0.596439351094887
0.0745729284826666,0.0663941449020058
0.184797861380503,0.91174752661027
0.214306703768671,0.156003659125417
0.506282235030085,0.801652519963682
0.31007044762373,0.579917851602659
0.0860924264416099,0.0981887220405042
0.0947574635501951,0.0683204655069858
0.568268720526248,0.00980723579414189
0.614408691879362,0.903127851895988
0.764449296751991,0.0811344997491688
0.104604389052838,0.563411706825718
0.622499442892149,0.255933850537986
0.347824471769854,0.988806442823261
NA,NA
0.997594673186541,0.582184235099703
0.831615690607578,NA
0.904201559489593,0.0585034168325365
