# Simulated random data file for batch processing
# timestamp: 2022-04-27 10:18:35
# HRS
# ------------------------

"var_x","var_y"
0.295016625197604,0.401177098043263
0.512564231175929,0.0237232416402549
0.284081211779267,0.230394981335849
0.502573878038675,NA
0.449683432234451,0.63611909118481
0.435959012480453,0.0206675473600626
0.695379612967372,0.6979853247758
NA,0.0936296072322875
0.957503149053082,NA
NA,0.186346204951406
NA,NA
0.518391682067886,0.684532421873882
0.791686691576615,0.16351189580746
0.671710738679394,0.787879611598328
0.0280696006957442,0.310429192148149
0.662476380355656,0.179279520874843
