# Simulated random data file for batch processing
# timestamp: 2022-04-27 10:18:35
# HRS
# ------------------------

"var_x","var_y"
0.409242034191266,0.240162218455225
0.0553173059597611,0.150616159429774
NA,0.556281528202817
0.859503927174956,0.626987349707633
NA,NA
0.223064857535064,NA
0.0452624729368836,NA
0.103210636647418,NA
0.886082579847425,0.89556133793667
0.0852763140574098,0.699920684797689
0.53617726592347,0.528427865123376
NA,0.0935011976398528
0.208190875826403,0.511422150535509
0.970230480423197,0.850470809033141
0.937709878897294,0.962503588758409
0.68503151461482,0.764970098622143
0.17398843402043,0.178036237601191
NA,0.163450976135209
0.262847448699176,0.82704369793646
0.499887621495873,0.273594764526933
