# Simulated random data file for batch processing
# timestamp: 2022-04-27 10:18:35
# HRS
# ------------------------

"var_x","var_y"
0.923000282375142,0.875927187036723
0.80173851782456,0.0952715768944472
0.508324075723067,NA
NA,0.156406037276611
NA,NA
NA,NA
0.119111204985529,NA
NA,NA
NA,0.687445090152323
NA,0.586379492888227
0.00342216249555349,0.876608762424439
0.728541613789275,NA
NA,NA
0.793801816180348,0.502906748326495
NA,0.51941661699675
0.0115233450196683,0.7103522347752
0.0590319274924695,NA
NA,NA
