# Simulated random data file for batch processing
# timestamp: 2022-04-27 10:18:35
# HRS
# ------------------------

"var_x","var_y"
0.0779238515533507,0.372955054044724
0.419687124667689,0.93168842070736
0.0787124561611563,NA
NA,0.614680215483531
0.395754209952429,NA
0.481269053183496,NA
0.0581894312053919,NA
0.297583519713953,0.9953159163706
0.372048348654062,0.373397662537172
0.0219100802205503,0.265510096447542
0.665630630450323,0.432605053065345
0.414654254447669,NA
NA,0.191309589194134
NA,0.920883179875091
0.843070953851566,0.363947593374178
0.120666736271232,0.172205331269652
NA,0.151530809700489
0.647929242346436,0.66560152778402
0.254031793912873,0.226066343253478
NA,0.821406319737434
